x,y,z,pr,pg,pb,vr,vg,vb
-25542.91015625,14965.6298828125,-14045.431640625,1.0,1.0,0.73749973749973752,1.0,0.97696015508680689,0.0
-25476.771484375,14945.7646484375,-14032.599609375,0.43280407406852417,0.0,0.0,1.0,0.51372561372528946,0.0
-25493.181640625,14972.615234375,-14091.763671875,0.70047001948383025,0.0,0.0,1.0,1.0,0.33602874779345332
-25523.458984375,14938.0048828125,-14106.6591796875,0.40191954190521961,0.0,0.0,1.0,0.47254921004871014,0.0
-25571.86328125,14985.5537109375,-14085.49609375,0.9475462767902666,0.0,0.0,0.46368860623182862,0.0,0.0
-25498.830078125,14981.5556640625,-14038.41015625,1.0,0.68872532935075159,0.0,1.0,0.091667476040351414,0.0
-25511.65625,15013.26953125,-14064.0751953125,1.0,0.78137223762305508,0.0,0.66958548732052559,0.0,0.0
-25534.638671875,14982.873046875,-14004.732421875,1.0,0.87401914589535856,0.0,1.0,0.1328438797169306,0.0
-25516.228515625,15018.857421875,-14070.3232421875,1.0,0.61666662291673779,0.0,1.0,1.0,0.027204909557850831
-25556.943359375,14943.4267578125,-14019.2578125,1.0,0.90490144865279309,0.0,1.0,0.32843179718068255,0.0
-25587.11328125,14949.123046875,-14017.3232421875,1.0,0.544607916482724,0.0,0.6181112670483514,0.0,0.0
-25553.91015625,14961.587890625,-14033.5625,1.0,1.0,0.78382331323507792,1.0,0.79166633854219992,0.0
-25572.796875,14971.603515625,-14026.6806640625,1.0,1.0,0.10441086911675156,0.70047001948383025,0.0,0.0
-25562.6796875,14974.234375,-14028.826171875,1.0,1.0,0.55220543455837579,1.0,0.29754949442324791,0.0
-25644.095703125,15053.693359375,-14022.2119140625,0.21661234892539241,0.0,0.0,0.58722673488504684,0.0,0.0
-25561.2421875,15005.189453125,-14086.2265625,1.0,0.071079274202061754,0.0,1.0,1.0,0.088969677204970982
-25503.625,15017.8876953125,-14095.8359375,0.87548236840922256,0.0,0.0,0.87548236840922256,0.0,0.0
-25610.583984375,15065.09375,-14103.015625,0.17543297270765301,0.0,0.0,1.0,0.41078460453384119,0.0
-25557.845703125,15033.552734375,-14050.7138671875,1.0,0.081373375121206584,0.0,1.0,0.88431324681450341,0.0
-25628.01953125,15068.2294921875,-14031.0205078125,0.22690719297982725,0.0,0.0,0.97843080895357104,0.0,0.0
-25508.755859375,15053.5703125,-14047.9580078125,1.0,0.0093146686871927731,0.0,0.72105970759269977,0.0,0.0
-25595.908203125,15157.1103515625,-14091.1826171875,0.041599999999999998,0.0,0.0,0.67988033137496051,0.0,0.0
-25624.171875,14942.35546875,-13979.0244140625,0.26808656919756668,0.0,0.0,0.96813596489913611,0.0,0.0
-25581.271484375,14957.8076171875,-14007.810546875,1.0,0.58578432015930326,0.0,1.0,0.81225454038048961,0.0
-25568.44140625,14952.9892578125,-14000.1611328125,1.0,0.53431381556357915,0.0,1.0,0.040196971444627264,0.0
-25564.572265625,15012.7275390625,-13976.7392578125,0.69017517542939533,0.0,0.0,1.0,0.36960820085726187,0.0
-25561.5390625,15036.515625,-13991.9619140625,0.54604735866730736,0.0,0.0,1.0,0.17402028339351006,0.0
-25561.5625,15006.9541015625,-14044.7236328125,1.0,0.62696072383588264,0.0,1.0,1.0,0.19705802058743244
-25590.845703125,14940.1279296875,-14029.3359375,1.0,0.34901999901897218,0.0,0.26808656919756668,0.0,0.0
-25502.30078125,14992.162109375,-14052.177734375,1.0,0.84313684313792403,0.0,0.47398345028626365,0.0,0.0
